Accepted scientific name of species ,Common.Name,Vernacular.Name,Growth.Habit,Duration,Group,Source
Impatiens repens Moon ex Wight,"Creeping Yellow Impatiens, Golden Dragon, Ceylon Jewelweed, Creeping Balsam",,Herb,Annual;Perennial,Dicot,FOI
Impatiens walleriana Hook.f.,Sultan'S Balsam,Khujang lei (mni),Herb,Annual;Perennial,Dicot,NRCS
Imperata cylindrica (L.) Raeusch.,Cogon Grass,"Uloo, Sirhu, Dabh, Khans (hin); Imom (mni); Ooloo (ben); Sannadabbai hullu (kan); Balbajamu (tel); Dub (mar); Darbha (san); Di (lus)",Graminoid,Perennial,Monocot,TRY;NRCS
Indigofera arrecta A.Rich.,Bengal Indigo,,Herb;Shrub,Perennial,Dicot,NRCS
Indigofera linnaei Ali,"Nine Leaf Indigo, Birdsville Indigo","Bhonyagali, bhuiguli, latahai, nil gach, phatakiya (ben); bhonyagali (guj); pandarphali (hin); chenna gida, kenneggilu, kirineggilu (kan); cempullati (mal); bhingule, bhuimuli (mar); latahai (ori); bekario (raj); hamsapadi (san); ceruppu-nerunci, cilapeci, ciru-nerunci (tam); chalapachi, cherragaddamu, yerrapalleru (tel)",Herb;Shrub,Perennial,Dicot,TRY;FOI
Indigofera spicata Forssk.,Creeping Indigo,Mala mandi (kan),Herb,Annual;Perennial,Dicot,TRY;NRCS
Indigofera trita L.f.,Asian Indigo,Punal-murunkai (tam); jidi vempali (tel); goramti nili (kan),Herb,Annual;Perennial,Dicot,NRCS
Iochroma cyaneum (Lindl.) M.L.Green,"Tubeflower, Violet Churur 'Wine Red'",,Shrub,Perennial,Dicot,NRCS;FOI
Ipomoea aquatica Forssk.,"Water Morning Glory, Swamp cabbage, aquatic morning glory, Chinese water spinach","Nali, Kalmi sag (hin); Kolamni (mni); Nalichi-bhaji (mar); Sarkaraivalli (tam); Tutikura (tel); Neeru Bili gadde hambu, Neeru hambu (kan); Kulmi sag (ben); Kalama saga (ori); Takasi vel (knn); Karemu, Kalambi (san)",Herb,Perennial,Dicot,NRCS
Ipomoea asarifolia (Desr.) Roem. & Schult.,Ginger-Leaf Morning Glory,"Bel-adambu (mal); Atappankoti, Vellaiyatampu, Venatampu (tam)",Herb,Perennial,Dicot,NRCS
Ipomoea cairica (L.) Sweet,Railway Creeper,"Neeli Bel (hin); Bekkina Hejje Balli, Kotti hejje balli (kan); Singa (mni); Garvel, Bhovara (mar); Kolambipoo (mal)",Herb;Vine,Perennial,Dicot,TRY;NRCS
Ipomoea carnea Jacq.,Bush Morning Glory,Besharam (mar); Behaya (hin); Sambal paambi (mni),Shrub;Vine,Perennial,Dicot,TRY;NRCS
Ipomoea coptica (L.) Roth ex Roem. & Schult.,Egyptian Morning Glory,Siru-thali-kodi (tam),Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea eriocarpa R.Br.,Tiny Morning Glory,"Khud kalmou (asm); ghorakalami (ben); odi kudaradi (guj); buta, bhanwar (hin); Mullu balli, Mallu balli (kan); Pulichevidu (mal); maal ghanti, raanbhovari (mar); paninoi (ori); bhanwar (pan); nakhari (san); purititige (tel)",Herb;Vine,Annual,Dicot,NRCS;FOI
Ipomoea fistulosa Mart. ex Choisy,Bush Morning Glory,,Shrub;Vine,Perennial,Dicot,NRCS
Ipomoea grandifolia (Dammer) O'Donell,Morning Glory,,Herb;Vine,Annual,Dicot,FPI
Ipomoea hederifolia L.,Scarlet Morning Glory,"Lal pungli (mar);  Adavi Kaasiratnam (tel); Theepori mulla, Suryakanti (mal); Kanavalikkodi (tam); Kolli beeja, Halle balli, Gauri beeja (kan)",Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea horsfalliae Hook.,Cardinal Creeper,,Herb;Vine,Perennial,Dicot,NRCS
Ipomoea indica (Burm.) Merr.,Blue Dawn Flower,,Herb;Vine,Annual;Perennial,Dicot,TRY;NRCS
Ipomoea mauritiana Jacq.,Giant Potato,"Bhumikumra (ben); bhuyi kohada, bilayi kand (hin); bhoo sakkare gadde, nelagumbala (kan); bhumikumvali (knn); palmutukk (mal); bhuikohala (mar); bhuin kakharu (ori); vidari (san); p-pucani, pal-mutanki (tam); bhuchakra gadda, nela gummadi (tel)",Herb;Vine,Perennial,Dicot,TRY;NRCS
Ipomoea muricata (L.) Jacq.,Purple Moonflower,"Bhingari, Barik Bhovari (mar); Lahare sag (npi); Mookuthi avarai, Kattutalai, Mookkatthi-kkai (tam); Mookathikaya (tel)",Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea nil (L.) Roth,"Blue Morning Glory, Japanese Morning Glory, White-Edge Morning Glory","Jharmaric, Kaladana, Neelkalmi (hin); Kaladana, Neelpushpi (mar); Kakkattan, Kotikkakkattan, Sirikki, Jigiri vidai (tam); Taliyari (mal); Kollivittulu, Jiriki, kolli (tel); Gowri beeja, Kolli beeja (kan); Kaladana (ben); Nil kalmou (asm); Kalanjani, Krishnabijah (san); Tukhm neel (urd)",Herb;Vine,Annual,Dicot,NRCS
Ipomoea obscura (L.) Ker Gawl.,Obscure Morning Glory,"Kurakalami (ben); gumbadavel, vaad kudaradi, vajavel (guj); lakshmana, pan bel, vachagandha (hin); muguthi balli, urutele balli, vajigandha (kan); pilibonvari (knn); thiruthaali (mal); pivali bhonvari, pungali (mar); laksmana, vachagandha (san); golla jiddu aaku, nalla kokkita (tel)",Herb;Vine,Perennial,Dicot,TRY;NRCS
Ipomoea parasitica (Kunth) G.Don,Yellow-Throated Morning Glory,,Herb;Vine,Perennial,Dicot,FOI
Ipomoea pes-caprae (L.) R.Br.,Goat Foot Vine,"Do Patti Lata (hin); Maryada-vel (mar); Bangada, Bangadaballi, Kempu bangada balli, Adambu, Dasari, Yadaani (kan); Naripadam, Pulichuvadi, Pulichuvatu, Poochakkal-valli, Atampuvalli (mal); Attukkal (tam); Balabantatige (tel);  Maryada-vel (guj)",Herb;Vine,Perennial,Dicot,NRCS
Ipomoea pes-tigridis L.,Tiger-Foot Ipomoea,"Panchpatia (hin); Vagh-padi (mar); Pulichovadi, Punaikkirai (tam); Pulichuvatu (mal); Chikunuvvu (tel); Anguli lota (ben); Arti (knn)",Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea purga (Wender.) Hayne,Jalap,,Herb;Vine,Perennial,Dicot,NRCS;FOI
Ipomoea purpurea (L.) Roth,Common Morning Glory,,Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea quamoclit L.,Cypress Vine,"Kamlata (hin); Kaamana balli, Kaamalate, Kaasiratna, Kempu molle (kan); Kamlata (mni); Kunja lota (ben); Vishnukranti (mar); Mayilmannikkam, Kembumalligai (tam); Akasha-mulla, Narayani poovu, Suriyakanthi (mal); Kaashi ratnam (tel); Jayantee (npi); Rimenhawih-i (lus); Ishq pechaan (urd)",Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea rubriflora O'Donell,Redstar,,Herb;Vine,Perennial,Dicot,FOI
Ipomoea tricolor Cav.,Mexican Morning Glory,,Herb;Vine,Annual,Dicot,TRY;NRCS
Ipomoea triloba L.,Little Bell,"Saru ghonta phool (asm); ghanti kalami (ben); nani kudardi (guj); muguthi balli, vajigandha (kan); chuttithiruthali, thiruthaali (mal); ivali bhonvari (mar); laksmana, vachagandha (san)",Herb;Vine,Perennial,Dicot,NRCS
Ipomoea wolcottiana Rose,,,Herb;Vine,Perennial,Dicot,DG
Iris albicans Lange,Cemetery Iris,,Herb,Perennial,Monocot,DG
Iris domestica (L.) Goldblatt & Mabb.,Leopard Flower,"Kabo Leiteng (mni); Surajakanti, Chalkumra, Torobot (asm); Dasbai Chandi, Arti (ben); Padam Pushkar, Pyaang Patare, Twaake Phoolo, Tyang Patre, Tarawaare (npi)",Herb,Perennial,Monocot,NRCS
Iris japonica Thunb.,Fringed Iris,,Herb,Perennial,Monocot,TRY;FOI
Iris pallida Lam.,Dalmatian Iris,,Herb,Perennial,Monocot,TRY;NRCS
Iris reticulata M.Bieb.,Netted Iris,,Herb,Perennial,Monocot,NRCS
Iris spuria L.,Blue Iris,,Herb,Perennial,Monocot,TRY;NRCS
Iris tectorum Maxim.,Roof Iris,,Herb,Perennial,Monocot,TRY;NRCS
Iris unguicularis Poir.,Winter-Blooming Algerian Iris,,Herb,Perennial,Monocot,DG
Iseilema laxum Hack.,Musal Grass,"Moshi, Mus, Shadta, Tambit (mar)",Graminoid,Perennial,Monocot,TRY;FPI
Ixora casei Hance,Flame Of The Woods,,Shrub,Perennial,Dicot,NRCS
Ixora finlaysoniana Wall. ex G.Don,Fragrant Ixora,Hameibon angouba (mni),Shrub,Perennial,Dicot,NRCS
Ixora javanica (Blume) DC.,"Java Ixora, Coral Ixora, Glossy Ixora Javanese Ixora, Jungle Flame ",Hameibon (mni),Shrub;Tree,Perennial,Dicot,FOI
Jacobaea maritima (L.) Pelser & Meijden,Dusty Miller,,Herb,Perennial,Dicot,FOI
Jacobinia ghiesbreghtiana (Lem.) Hemsl.,"Mexican Honeysuckle, Firecracker Plant, Orange Plume Flower",,Shrub,Perennial,Dicot,FOI
Jacquemontia ovalifolia (Choisy) Hallier f., Oval-Leaf Clustervine,,Herb;Vine,Perennial,Dicot,NRCS
Jacquinia armillaris Jacq.,Braceletwood,,Shrub;Tree,Perennial,Dicot,NRCS
Jasminum bignoniaceum Wall. & G.Don,Trumpet Jasmine,"Kurumozhi, Pita (mal)",Shrub,Perennial,Dicot,FOI
Jasminum laurifolium Roxb. ex Hornem.,Angel Wing Jasmine,"Raj Chameli (hin); Kangfimhrui, Phuarchhum (lus)",Vine,Perennial,Dicot,NRCS
Jasminum odoratissimum L.,,,Shrub,Perennial,Dicot,FPI
Jasminum polyanthum Franch.,Many-Flowered Jasmine,,Vine,Perennial,Dicot,NRCS
Jatropha curcas L.,Physic Nut,"Jamal ghota, Ratanjot, Jangli arandi (hin); Awa kege (mni); Mogli Erand, Maraharalu (mar);  Kattukkotai (tam);  Kattamank, Katalavanakku (mal); Nepalam, Adavi amudam (tel); Kananeranda (kan); Bagbherenda, Bherenda, Sada verenda (ben); Jahazigaba, Dhalajahaji (ori); Mogli erandi (knn); Salika kund, Bongali-botora, Bongali era (asm); Radau-khurung, Jamalgota (guj); Darvanti (san); Kangdamdawi, Thingthau (lus); Sajiwan, Hattikaane, Nirguni, Arin (npi)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Jatropha glandulifera Roxb.,Glandular Jatropha,"Jangli erandi (hin); kadi, kari thuraka haralu (kan); atala, katalavanakku, nakadanti (mal); jangli-erandi (mar); akhukarnika, citra, dravanthi (san); Vellaikattukottai (tam); adavi-amadam, dundaga aaku (tel)",Shrub;Tree,Perennial,Dicot,FOI
Jatropha gossypiifolia L.,Bellyache Bush,Ratanjoti (hin); Ee hidak (mni); Siria Amanakku (tam); Chuvanna Kadalavanakku (mal); Chikka kada haralu (kan); Lal bherenda (ben),Herb;Shrub,Perennial,Dicot,TRY;NRCS
Jatropha hernandiifolia Vent.,Wild Oilnut,,Shrub;Vine,Perennial,Dicot,NRCS
Juglans regia L.,Persian Walnut,"Akhrot (hin); Akrodu, Akrotu (kan); akroda (mar); Sano okhar (npi); Akhoda, Akhota (san); Akarottu (tam); Akarottu (tel); Akhrot (urd); Khawkherh (lus)",Tree,Perennial,Dicot,NRCS
Juncus maritimus Lam.,Sea Rush,,Graminoid,Perennial,Monocot,NRCS
Justicia gendarussa Burm.f.,Willow-Leaf Justicia,"Nili nargandi, Kala bashimb, Kala adulsa (hin); tev, bakas, Kala adulsa (mar); karunochi, vadaikkutti (tam); karunochchi, vada-kodi (mal); addasaramu, gandharasamu, nalla-noch-chili (tel); Aduthodagida, Kaaralakkigida, Karilakki, Naachugaddi (kan); jagatmadan (ben); nilanirgundi (ori); tita-bahak, bishalya karani (asm); Gandharasa, Indrani, Kapika, krishnanirgundi (san)",Shrub,Perennial,Dicot,FOI
Kaempferia elegans (Wall.) Baker,Peacock Plant 'Satin Checks',,Herb,Perennial,Monocot,DG
Kalanchoe blossfeldiana Poelln.,Flaming Katy,January chedi (mal),Herb,Perennial,Dicot,NRCS
Kalanchoe integra (Medik.) Kuntze,Never-Die,"Bish Kobra, Zakhmihayat (hin); Kumuda gadde, Kumuda gedde (kan); Parnabija (san); Zakhme hayat (urd) ",Herb;Shrub,Perennial,Dicot,NRCS
Kalanchoe marmorata Baker,"Penwiper Plant, Spotted Kalanchoe",,Shrub,Perennial,Dicot,NRCS;ALA
Kalanchoe velutina Welw. ex Britten,Velvet Leaf Kalanchoe,,Shrub,Perennial,Dicot,DG
Kallstroemia pubescens (G.Don) Dandy,Caribbean Caltrop,,Herb,Annual,Dicot,TRY;NRCS
Kerria japonica (L.) DC.,Japanese Rose,,Shrub,Perennial,Dicot,NRCS
Khaya grandifoliola C.DC.,Benin Mahogany,,Tree,Perennial,Dicot,FPI
Kniphofia uvaria (L.) Oken,Torch Lily,,Herb,Perennial,Monocot,NRCS
Koeleria macrantha (Ledeb.) Schult.,Prairie Junegrass,,Graminoid,Perennial,Monocot,TRY;NRCS
Kyllinga polyphylla Willd. ex Kunth,Navua Sedge,,Graminoid,Perennial,Monocot,https://plants.jstor.org/compilation/kyllinga.polyphylla;accessed on: 31 May 2020
Lafoensia vandelliana Cham. & Schltdl.,,,Tree,Perennial,Dicot,FPI
Lagascea mollis Cav.,Silk Leaf,Jharwad (Marayhi),Herb,Annual,Dicot,TRY;NRCS
Lagenaria siceraria (Molina) Standl.,Bottle Gourd,"Lauki (hin); Khongdrum (mni); Dudhi (mar); Surakkai (tam); Pechura (mal);  Sorakkaya (tel); Sorekayi (kan); Lau (ben); Lauki (urd); Tumada (guj); Tiktalabu (san); Um, Um-ei (lus)",Herb;Vine,Annual,Dicot,TRY;NRCS
Lagerstroemia duperreana Pierre ex Gagnep.,Thorel'S Crape Myrtle,,Shrub;Tree,Perennial,Dicot,FOI
Laggera aurita Sch.Bip.,Sticky Blumea,,Herb,Perennial,Dicot,FOI
Lagurus ovatus L.,Bunny Tail Grass,,Graminoid,Annual,Monocot,NRCS
Lampranthus spectabilis (Haw.) N.E.Br.,Trailing Ice Plant,,Herb,Perennial,Dicot,FOI
Lantana camara L.,Lantana,"Raimuniya (hin); Masino Kaandaa, Van Phandaa (npi); Unnichedi (tam);  Tantani, Ghaneri (mar); Lantaana, Kasooti hoo, Kaadu jola, Chaduranga, Lantavaani, Hesige hoo (kan); Pulikampa (tel); Shillong-tlangsam (lus)",Shrub;Vine,Perennial,Dicot,TRY;NRCS
Lantana canescens Kunth,Hammock Shrubverbena,,Shrub,Perennial,Dicot,NRCS
Lantana involucrata L.,White Lantana,,Shrub;Tree,Perennial,Dicot,NRCS
Lantana montevidensis (Spreng.) Briq.,Trailing Lantana,"Samballei, Nongballei, Thirei (mni); Raimu niya (hin); Unnichedi (tam); tantani (mar)",Shrub,Perennial,Dicot,NRCS
Lantana nivea Vent.,,,Shrub,Perennial,Dicot,EOL
Lantana scabrida Aiton,,,Herb,Perennial,Dicot,EOL
Lantana splendens Medik.,,,Herb,Perennial,Dicot,IBP
Lantana trifolia L.,Threeleaf Shrubverbena,,Herb;Shrub,Perennial,Dicot,TRY;NRCS
Lantana veronicifolia Hayek,Indian White Lantana,,Herb,Perennial,Dicot,FOI
Laportea aestuans (L.) Chew,,,Herb,Annual;Perennial,Dicot,NRCS
Latania lontaroides (Gaertn.) H.E.Moore,Red Palm Latan,,Palm,Perennial,Monocot,DG
Lathyrus aphaca L.,Yellow Pea,Jangli Mattar (hin); Ban khesari (npi),Herb;Vine,Annual,Dicot,TRY;NRCS
Lathyrus odoratus L.,Sweet Pea,Hawaithrak lei (mni); Keraau Phool (npi),Herb;Vine,Annual,Dicot,TRY;NRCS
Lathyrus sativus L.,"Grass Pea, Chickling pea, Indian vetch","Lang (guj); Khesari, Latari (hin); Khesari (npi); Hawai kasari (mni); Laag, Lakh (mar); Kesari paruppu (tam); Lamka (tel)",Herb;Vine,Annual,Dicot,NRCS
Launaea intybacea (Jacq.) Beauverd,Bitter Lettuce,,Herb,Annual,Dicot,NRCS
Laurus nobilis L.,Bay Laurel,,Tree,Perennial,Dicot,NRCS
Lavandula angustifolia Mill.,True Lavender ,,Shrub,Perennial,Dicot,NRCS
Lawsonia inermis L.,Henna,Gorintaku (tel); Manjuati (ori),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Leea guineense G.Don,"Hawaiian Holly, West Indian Holly",,Shrub;Tree,Perennial,Dicot,DFEG;DG
Leersia hexandra Sw.,Rice Grass,"Erali, Erali-bon (asm); Navo dhan (npi)",Graminoid,Perennial,Monocot,NRCS
Lemna perpusilla Torr.,,Payal (mal),Herb,Perennial,Monocot,NRCS
Lemna turionifera Landolt,,,Herb,Perennial,Monocot,TRY;NRCS
Leonotis leonurus (L.) R.Br.,Lion'S Ear,,Shrub,Perennial,Dicot,NRCS
Leonotis nepetifolia (L.) R.Br.,Lion'S Ear,Ranabheri (tel),Herb,Annual,Dicot,TRY;NRCS
Lepidium didymum L.,Bitter Cress,Pitpapra (hin); Gabbu kothambari (kan); Jangli halon (urd),Herb,Annual;Biennial,Dicot,TRY;NRCS
Lepidium ruderale L.,Narrow-Leaved Peppergrass,,Herb,Annual;Biennial,Dicot,TRY;NRCS
Lepidium sativum L.,Garden Cress,"Halim shaak (asm); halim shaak (ben); asheliyo (guj); chansur, halim (hin); Allabeeja, Kurtige gida (kan); aaliv (knn); asali (mal); ahaliv (mar); chamsur (npi); halima (ori); asaliyo (raj); chandrashura, raktaraji (san); ali (tam); chansur, halim, halon (urd) ",Herb,Annual,Dicot,TRY;NRCS
Lepidium virginicum L.,Virginia Pepperweed,,Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
Leptospermum polygalifolium Salisb.,"Jelly Bush, Common Tea Tree, Tantoon, Wild May, Yellow Tea Tree",,Shrub,Perennial,Dicot,DG
Leptospermum trinervium (Sm.) Joy Thomps.,"Flaky-Barked Tea Tree, Paperbark Tea-Tree, Slender Tea Tree",,Shrub,Perennial,Dicot,NRCS;FOI
Leptothrium senegalense (Kunth) Clayton,,,Graminoid,Perennial,Monocot,TRY
Lespedeza bicolor Turcz.,Bush Clover,,Herb,Perennial,Dicot,NRCS
Leucadendron argenteum (L.) R.Br.,Silver Tree,,Shrub;Tree,Perennial,Dicot,DG
Leucaena diversifolia (Schltdl.) Benth.,,,Tree,Perennial,Dicot,EOL
Leucaena leucocephala (Lam.) de Wit,Wild Tamarind,Safed babool (hin); Subabul (ben); Japan-zawngtah (lus); Chigong lei angouba (mni),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Leucanthemum vulgare (Vaill.) Lam.,Oxeye Daisy,,Herb,Perennial,Dicot,TRY;NRCS
Leucas martinicensis (Jacq.) R.Br.,Whitewort,Perumthumbai (tam); Karimthumba (mal),Herb,Annual,Dicot,NRCS
Leucojum aestivum L.,,,Herb,Perennial,Monocot,NRCS
Leucophyllum frutescens (Berland.) I.M.Johnst.,Purple Sage,,Shrub,Perennial,Dicot,NRCS
Licuala spinosa Wurmb,Mangrove Fan Palm,,Palm,Perennial,Monocot,FOI
Lilium lancifolium Thunb.,Tiger Lily,,Herb,Perennial,Monocot,NRCS
Limnanthes douglasii R.Br.,Meadowfoam,,Herb,Annual,Dicot,NRCS
Limnocharis flava (L.) Buchenau,Yellow Sawah Lettuce,Nagapola (mal),Herb,Perennial,Monocot,NRCS;FOI
Linaria purpurea (L.) Mill.,Purple Toadflax,,Herb,Perennial,Dicot,NRCS
Linum usitatissimum L.,Flax,"Atasi (ben); Alsi (hin); Agase beeja, Aagase gida (kan); Thoiding amuba (mni); Alashi (mar); Ali (tam); Madanginja, Ullusulu (tel); Atasi (san); Alsee (urd)",Herb,Annual,Dicot,TRY;NRCS
Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,Bushy Lippia,,Shrub,Perennial,Dicot,TRY;NRCS
Lobelia chinensis Lour.,Chinese Lobelia,,Herb,Perennial,Dicot,TRY;NRCS
Lolium multiflorum Lam., Italian Ryegrass,,Graminoid,Annual;Perennial,Monocot,DG
Lolium perenne L.,Perennial Ryegrass,,Graminoid,Annual;Perennial,Monocot,NRCS
Lolium temulentum L.,Darnel Ryegrass,Mochni (hin),Graminoid,Annual,Monocot,TRY;NRCS
Lonchocarpus capassa Rolfe,Apple Leaf,,Tree,Perennial,Dicot,DG
Lonchocarpus guillemineanus (Tul.) Malme,,,Tree,Perennial,Dicot,EOL
Lonchocarpus sericeus (Poir.) DC.,Lancepod,,Tree,Perennial,Dicot,NRCS
Lonicera caprifolium L.,Italian Honeysuckle,,Vine,Perennial,Dicot,NRCS
Lonicera confusa DC.,Soft-Leafed Honeysuckle,,Vine,Perennial,Dicot,FPI
Lonicera etrusca Santi,Etruscan Honeysuckle,,Vine,Perennial,Dicot,NRCS
Lonicera japonica Thunb.,Japanese Honeysuckle,Madhumati (mni); Juhee (npi); Leihruisen (lus),Vine,Perennial,Dicot,TRY;NRCS
Lonicera periclymenum L.,European Honeysuckle,Madhumati (mni),Vine,Perennial,Dicot,NRCS
Lophospermum erubescens D.Don,Creeping Gloxinia,,Herb;Vine,Perennial,Dicot,NRCS
Lophospermum scandens D.Don,Mexican Twist,,Herb;Shrub,Perennial,Dicot,EOL
Lotus jacobaeus L.,"Black-Flowered Lotus, Cape Verde Lotus, Santiago Island Lotus",,Shrub,Perennial,Dicot,DG
Ludwigia erecta (L.) H.Hara,,,Herb,Annual;Perennial,Dicot,TRY;NRCS
Ludwigia hyssopifolia (G.Don) Exell,Hyssop-Leaved Water Primrose,Vasalaccira (mal),Herb,Annual;Perennial,Dicot,TRY;NRCS
Ludwigia peruviana (L.) H.Hara,Peruvian Water Primrose,,Herb;Shrub,Perennial,Dicot,NRCS
Ludwigia sedioides (Humb. & Bonpl.) H.Hara,Mosaic Flower,,Herb,Perennial,Dicot,FOI
Lupinus perennis L., Sundial Lupine,,Herb,Perennial,Dicot,NRCS
Lupinus pilosus L.,Blue Lupine,,Herb,Annual,Dicot,NRCS;IBP
Lupinus polyphyllus Lindl.,Garden Lupin,,Herb,Perennial,Dicot,TRY;NRCS
Lycianthes laevis (Dunal) Bitter,Thick-Petal Nightshade,Vani-an-chi-khat (lus),Herb,Perennial,Dicot,IBP
Lycium barbarum L.,,,Shrub;Vine,Perennial,Dicot,TRY;NRCS
Lycium europaeum L.,,,Shrub,Perennial,Dicot,TRY
Lycopus europaeus L.," Gypsywort,",,Herb,Perennial,Dicot,TRY;NRCS
Lygeum spartum Loefl. ex L.,Esparto Grass,,Graminoid,Perennial,Monocot,NRCS
Lysiloma latisiliquum (L.) Benth.,False Tamarind,,Tree,Perennial,Dicot,TRY;NRCS
Lythrum salicaria L.,Purple Loosestrife,,Herb,Perennial,Dicot,NRCS
Macroptilium atropurpureum (DC.) Urb.,Purple Bush-Bean,,Herb;Vine,Perennial,Dicot,TRY;NRCS
Macroptilium lathyroides (L.) Urb.,Phasey Bean,,Herb;Vine,Annual;Biennial;Pernnial,Dicot,NRCS
Maesopsis eminii Engl.,Umbrella Tree,Kudamaram (mal),Tree,Perennial,Dicot,TRY;NRCS
Magnolia figo (Lour.) DC.,Banana Shrub,,Shrub;Tree,Perennial,Dicot,TRY;FOI
Magnolia liliiflora Desr.,Lily Magnolia ,,Shrub,Perennial,Dicot,FOI
Malachra capitata (L.) L.,Brazil Jute,"Van bhindi, Vilayati bhindi (hin); raan bhendi (mar); Ban bhindi (ben); Pardesi bhindo (guj)",Herb,Annual;Perennial,Dicot,NRCS
"Malva multiflora (Cav.) Soldano, Banfi & Galasso",Cheeseweed,,Herb;Shrub,Perennial,Dicot,EOL
Malva neglecta Wallr.,Common Mallow,Sonchala (hin); Kadukadalegida (kan); Sochal (kas); Trikalamalli (tel),Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
Malva parviflora L.,Cheeseweed Mallow,"Gogi-sag, Narr (mar)",Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
Malva sylvestris L.,High Mallow,"Gurchanti, Socholi (hin); Sanna bindige gida, Seeme bende (kan); Kubaajee (mar); Khubbazi, Tukhm-e-khubbazi, Gul-e-khubazi, Gul-e-khair (urd)",Herb,Annual;Biennial;Pernnial,Dicot,NRCS
Malvastrum coromandelianum (L.) Garcke,False Mallow,Chiru benda (tel),Herb;Shrub,Annual;Perennial,Dicot,TRY;NRCS
Malvaviscus penduliflorus Moc. & Sessé ex DC.,Pendulous Sleeping Hibiscus,,Shrub,Perennial,Dicot,NRCS
Mandevilla boliviensis (Hook.f.) Woodson,"Dipladenia, Shining Mandevilla",,Vine,Perennial,Dicot,FPI
Mandevilla laxa (Ruiz & Pav.) Woodson,Chilean Jasmine,,Vine,Perennial,Dicot,FOI
Manettia cordifolia Mart.,Brazilian Firecracker Vine,,Vine,Perennial,Dicot,DG
Manihot anomala Pohl,,,Shrub,Perennial,Dicot,FPI
Mansoa hymenaea (DC.) A.H.Gentry,Garlic Vine,,Vine,Perennial,Dicot,NRCS
Markhamia stipulata (Wall.) Seem.,Markhamia,,Tree,Perennial,Dicot,FPI
Marsilea quadrifolia L.,Water Clover,,Herb,Perennial,Fern,NRCS
Martynia annua L.,Devils Claws,Puligoru (tel),Herb,Annual,Dicot,TRY;NRCS
Maurandya barclayana Lindl.,Angels Trumpet,,Vine,Perennial,Dicot,ALA
Maurandya scandens (Cav.) Pers.,"Chickabiddy, Climbing Snapdragon, Twining Snapdragon",,Herb;Vine,Perennial,Dicot,FOI
Mecardonia procumbens (Mill.) Small,Baby Jump Up,Makardana (mar),Herb,Annual;Perennial,Dicot,TRY;NRCS
Medicago lupulina L.,Black Medic,,Herb,Annual;Perennial,Dicot,TRY;NRCS
Medicago polymorpha L.,Bur Clover,"Chandansi, Churgali (hin)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Medicago sativa L.,Alfalfa,"Vilayati ghas (guj); lusan ghas (hin); lusarne soppu, vilaayiti hullu (kan); vilayati gavat (mar); dureshta, sinjhi (ori); ashvabala (san); kutirai macal (tam)",Herb,Annual;Perennial,Dicot,TRY;NRCS
Melaleuca alternifolia (Maiden & Betche) Cheel,"Manuka, Narrow-Leaved Paperbark, Tea Tree",,Shrub;Tree,Perennial,Dicot,DG
Melaleuca armillaris (Sol. ex Gaertn.) Sm.,"Bracelet Honey-Myrtle, Drooping Melaleuca",,Shrub;Tree,Perennial,Dicot,DG
Melaleuca hypericifolia Sm.,"Hillock Bush, Red-Flowered Paperbark, Red Honey Myrtle",,Shrub,Perennial,Dicot,NRCS;IBP
Melaleuca nesophila F.Muell.,"Pink Melaleuca, Mindiyed Melaleuca, Showy Honey Myrtle",,Shrub;Tree,Perennial,Dicot,NRCS;ALA
Melaleuca quinquenervia (Cav.) S.T.Blake,Broad-Leaved Paperbark,,Tree,Perennial,Dicot,TRY;NRCS
Melampodium divaricatum (Rich. ex Rich.) DC.,Butter Daisy,,Herb,Annual,Dicot,NRCS
Melanthera micrantha (Nutt.) W.L.Wagner & H.Rob.,Kauai Nehe,,Herb;Shrub,Perennial,Dicot,EOL
Melia azedarach L.,Persian Lilac,Turakavepa (tel),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Melianthus major L.,Giant Honey Flower,,Herb;Shrub,Perennial,Dicot,TRY;NRCS
Melica minuta L.,Small Melick,,Graminoid,Perennial,Monocot,ALA
Melicope denhamii (Seem.) T.G.Hartley,Denham'S Melicope,,Tree,Perennial,Dicot,NRCS
Melilotus albus Medik.,White Sweet Clover,"Khandai, Safed Ban-methi (hin); Ran Methi (mar)",Herb,Annual;Biennial;Pernnial,Dicot,TRY;NRCS
